StudyID,Study,T,N,Mean,SD
1,"Badicci et al., 2012",4,36,-3,6.65
1,"Badicci et al., 2012",1,34,-2,6.84
2,"Dos Santos et al., 2014 Eccentric",4,20,-11.85,2.74
2,"Dos Santos et al., 2014 Eccentric",1,20,0.25,2.97
3,"Dos Santos et al., 2014 Traditional",4,20,-12.05,2.16
3,"Dos Santos et al., 2014 Traditional",1,20,0.25,2.97
4,"Ehlken et al., 2015",4,38,-2,6.71
4,"Ehlken et al., 2015",1,41,-2,6.71
5,"Figueroa et al., 2011",4,12,-6,13.16
5,"Figueroa et al., 2011",1,12,-1,12.78
6,"Frih et al., 2017",4,28,-5.8,2.28
6,"Frih et al., 2017",1,22,-2.1,2.84
7,"Garnaes et al., 2016",4,38,1.6,7.1
7,"Garnaes et al., 2016",1,36,2.2,5.14
8,"Greenwood et al., 2015",4,8,-2.1,9.7
8,"Greenwood et al., 2015",1,10,-7.6,8.29
9,"Jeon et al., 2020",4,21,-1,4.22
9,"Jeon et al., 2020",1,14,-1,3.61
10,"Jones et al., 2020",4,26,-1,4.84
10,"Jones et al., 2020",1,24,-1,5.46
11,"Kagioglou et al., 2021",4,16,-4.2,6.45
11,"Kagioglou et al., 2021",1,16,-2,6.99
12,"Karelis et al., 2016",4,10,6,7.96
12,"Karelis et al., 2016",1,10,-6,9.85
13,"Martins et al., 2011",4,32,-2.4,5.95
13,"Martins et al., 2011",1,31,-0.8,8.08
14,"Masroor et al., 2018",4,15,-7.2,3.96
14,"Masroor et al., 2018",1,13,1.3,4.04
15,"Miura et al., 2015",4,45,-3.3,3.84
15,"Miura et al., 2015",1,47,-0.7,4.3
16,"Ohkubo et al,. 2001",4,32,-2.8,4.86
16,"Ohkubo et al,. 2001",1,33,1.5,5.22
17,"Okamoto et al., 2007 AT before RT",4,11,-2.7,4.53
17,"Okamoto et al., 2007 AT before RT",1,11,-1.8,4.2
18,"Okamoto et al., 2007 RT before AT",4,11,-4.2,5.92
18,"Okamoto et al., 2007 RT before AT",1,11,-1.8,4.2
19,"Park & Park, 2017 A",4,25,-0.8,3.42
19,"Park & Park, 2017 A",1,25,0.4,3.67
20,"Park & Park, 2017 B",4,21,-0.3,3.13
20,"Park & Park, 2017 B",1,20,0.3,3.13
21,"Park et al., 2020",4,10,-0.1,2.01
21,"Park et al., 2020",1,10,1.1,2.4
22,"Seo et al., 2011",4,10,-3.4,3.79
22,"Seo et al., 2011",1,10,1.4,7.19
23,"ODriscoll et al., 2022",6,12,-8,4.16
23,"ODriscoll et al., 2022",1,12,-0.2,4.15
24,"Shiotsu et al., 2018 AT before RT",4,15,0.2,6.84
24,"Shiotsu et al., 2018 AT before RT",1,10,2,6.83
25,"Shiotsu et al., 2018 RT before AT",4,15,-3.5,6.33
25,"Shiotsu et al., 2018 RT before AT",1,10,2,6.83
26,"Siu et al., 2021",4,181,-0.4,6.11
26,"Siu et al., 2021",1,181,0.7,6.39
27,"Son et al., 2017",4,10,-11,7.97
27,"Son et al., 2017",1,10,-3,14.46
28,"Stewart et al., 2005",4,51,-3.7,4.68
28,"Stewart et al., 2005",1,53,-1.6,5.79
29,"Tan et al., 2012",4,15,-1,6.08
29,"Tan et al., 2012",1,10,4,5.83
30,"Yen et al., 2019",4,34,-9,8.17
30,"Yen et al., 2019",1,38,1.5,7.62
31,"Winding et al., 2018",5,11,-1,3.16
31,"Winding et al., 2018",1,8,-2,4.24
32,"Chin. et al., 2020 3 p/w",5,35,-10,5.46
32,"Chin. et al., 2020 3 p/w",1,32.5,0,4.22
33,"Chin. et al., 2020 2 p/w",5,38.5,-2,6.08
33,"Chin. et al., 2020 2 p/w",1,32.5,0,4.22
34,"Chin. et al., 2020 1 p/w",5,35,-1,4.84
34,"Chin. et al., 2020 1 p/w",1,32.5,0,4.22
35,"Tew et al., 2019",5,15,-4,6.08
35,"Tew et al., 2019",1,15,1,6
36,Atan & Karavelioglu 2020,5,19,-4.42,5.4
36,Atan & Karavelioglu 2020,1,17,-2.82,8.36
37,"Renteria et al., 2019",5,9,-4.7,3.28
37,"Renteria et al., 2019",1,8,-5.4,6.35
38,"Ho et al., 2019",5,30,1.1,7.58
38,"Ho et al., 2019",1,30,-1.2,7.28
39,"Streese et al., 2019",5,36,-2,6.08
39,"Streese et al., 2019",1,33,-1,6.32
40,"Garcia-Suarez et al., 2020",5,9,-2.3,7.34
40,"Garcia-Suarez et al., 2020",1,10,3.9,8.33
41,"Blackwell et al., 2020",5,19,-5,6.84
41,"Blackwell et al., 2020",1,21,5,5.88
42,"Allen et al., 2017 HIIT",5,20,-4,6.71
42,"Allen et al., 2017 HIIT",1,14,0,8.4
43,"Allen et al., 2017 PIST",5,21,-5,5.4
43,"Allen et al., 2017 PIST",1,14,0,8.4
44,"Bahmanbeglou et al., 2019 Short dur",5,10,-3,6.71
44,"Bahmanbeglou et al., 2019 Short dur",1,10,3,2.41
45,"Bahmanbeglou et al., 2019 Long dur",5,10,-15,6.32
45,"Bahmanbeglou et al., 2019 Long dur",1,10,3,2.41
46,"Lee et al., 2020",5,12,0,6.08
46,"Lee et al., 2020",1,15,2,5.46
47,"Tambrus et al., 2018",5,32,-2.03,6.36
47,"Tambrus et al., 2018",1,34,0.63,7.55
48,"Cassidy et al., 2019",5,11,-4,2.41
48,"Cassidy et al., 2019",1,11,0,2.68
49,"Romain et al., 2019",5,38,-1.23,6.14
49,"Romain et al., 2019",1,28,-6.54,6.07
50,"Tjonna et al., 2008",5,12,-7,1.9
50,"Tjonna et al., 2008",1,10,1,3
51,"Mohr et al., 2014",5,21,0,8.66
51,"Mohr et al., 2014",1,20,0,8.66
52,"Madssen et al., 2014",5,24,0.5,4.66
52,"Madssen et al., 2014",1,25,2.4,6.58
53,"Heydari et al., 2013 A",5,17,-6,1.14
53,"Heydari et al., 2013 A",1,20,4,1.05
54,"Heydari et al., 2013 B",5,20,-4.5,4.68
54,"Heydari et al., 2013 B",1,18,3.6,4.32
